iter	Logloss
0	0.6794878838
1	0.6669680871
2	0.6566613721
3	0.647910685244	0.64046727
5	0.6350811763
6	0.6288322528
7	0.6236922005
8	0.6186239989
9	0.6141142426
10	0.6095095612
11	0.6061063927
112	0.6072588429113	0.603782735514	0.5971679405
15	0.5949890412
116	0.596258767817	0.59031061
18	0.5885721422
19	19	0.582215620	020	0.580360421	21	0.5779902522	22	0.5761405823	23	0.5744338824	24	0.5731196125	25	0.5716437155
26	0.5703491227	227	0.5754966299228	0.5744218515229	0.573016248630	0.5654338291
31	0.5640349755
32	0.5626348471
33	0.5609889301
34	0.5595504809
335	0.5654471426336	0.5642007332337	0.563304534438	0.5545536954
39	0.5533292566
40	0.5525067602
41	0.551565396
42	0.5505790014
43	0.5495875308
44	0.54863545	0.45	0.5477426435
46	0.5469147	0.547	0.5460148	0.548	0.5448449	0.549	0.543650	0.55550	0.55151	0.55051	0.55052	0.5490445433
53	0.5484468942
54	0.5475744659
55	0.5467052135
56	0.5458870761
57	0.5448371669
58	0.5442894713
59	0.5436282053
60	0.5428698064
61	0.5423242506
62	0.5417279962
63	0.5411037814
64	0.5404457287
65	0.5397901193
66	0.5390241148
67	0.5383853625
68	0.5376598965
69	0.5368903047
70	0.5363828942
71	0.5357736967
72	0.5352376816
73	0.5344443692
74	0.5339335253
75	0.5332548934
76	0.5323154939
77	0.531798965
78	0.5312274936
79	0.5303385004
80	0.5297109601
81	0.5289496611
82	0.528260736
83	0.5276795306
84	0.5269525675
85	0.5263068108
86	0.5258991397
87	0.5249928546
88	0.524606262
89	0.5238131431
90	0.5230760854
91	0.5223530148
92	0.5218405682
93	0.5209797541
94	0.5199237515
95	0.5194289904
96	0.5187375234
97	0.5179611022
98	0.5170861924
99	0.5162972354
01881
42
