iter	Passed	Remaining
0	76	7557
1	142	6997
2	160	5197
3	182	4390
4	209	397255	233	366266	264	351077	282	324588	312	3162
9	343	3095110	371	3006111	402	2954112	411	2756
13	432	2656114	493	2797
15	523	2746
16	527	2576
17	587	2674118	622	265219	641	2564
20	678	2554
21	712	2525
22	748	2505
23	781	2473
24	814	2442
25	849	2417
26	865	2339
227	896	2305228	923	2260229	955	222830	998	2222
31	1030	2189
32	1050	2133
33	1073	2084
34	1095	2034
335	1124	1998336	1149	1958337	1192	194638	1225	1917
39	1248	1872
40	1283	1846
41	1315	1816
42	1334	1769
43	1354	1724
44	1384	1692
45	1411	1656
46	1427	1609
47	1462	1584
48	1482	1543
49	1500	1500
550	1521	1461551	1565	144452	1606	1424
53	1623	1383
54	1666	1363
55	1704	1338
56	1762	1329
57	1806	1308
58	1837	1276
59	1860	1240
60	1891	1209
61	1905	1167
62	1934	1136
63	1952	1098
64	2001	1077
65	2035	1048
66	2092	1030
67	2158	1015
68	2198	987
69	2218	950
70	2234	912
71	2269	882
72	2315	856
73	2346	824
74	2390	796
75	2413	762
76	2447	730
77	2529	713
78	2562	681
79	2599	649
80	2617	614
81	2642	579
82	2671	547
83	2715	517
84	2740	483
85	2767	450
86	2801	418
87	2846	388
88	2875	355
89	2905	322
90	2936	290
91	2961	257
92	2989	225
93	3024	193
94	3040	160
95	3068	127
96	3107	96
97	3140	64
98	3148	31
99	3167	0
